date,predicted_expense,category
2025-03-24,119.95545739947681,Automotive
2025-03-24,260.27667636654064,Bills & Utilities
2025-03-24,135.87948716459942,Education
2025-03-24,134.75921109110942,Entertainment
2025-03-24,121.04308430614228,Food & Drink
2025-03-24,213.85907144914432,Gifts & Donations
2025-03-24,177.37877024512613,Groceries
2025-03-24,192.76798540616232,Health & Wellness
2025-03-24,178.49058188224865,Home
2025-03-24,172.81435619327067,Miscellaneous
2025-03-24,111.09032120706456,Other
2025-03-24,172.00579418271832,Personal
2025-03-24,126.40791743227658,Petrol & Gas
2025-03-24,278.1269215460252,Professional Services
2025-03-24,177.35322394986605,Rent
2025-03-24,39.299142533363096,Savings
2025-03-24,140.92919644783916,Shopping
2025-03-24,-46.2929435253518,Travel
2025-03-25,119.95545739947681,Automotive
2025-03-25,132.24716281522768,Bills & Utilities
2025-03-25,135.87948716459942,Education
2025-03-25,134.75921109110942,Entertainment
2025-03-25,121.04308430614228,Food & Drink
2025-03-25,174.09868274273725,Gifts & Donations
2025-03-25,177.37877024512613,Groceries
2025-03-25,192.76798540616232,Health & Wellness
2025-03-25,178.49058188224865,Home
2025-03-25,172.81435619327067,Miscellaneous
2025-03-25,111.09032120706456,Other
2025-03-25,171.38291009948716,Personal
2025-03-25,126.40791743227658,Petrol & Gas
2025-03-25,77.79100584854098,Professional Services
2025-03-25,177.35322394986605,Rent
2025-03-25,38.90613020153373,Savings
2025-03-25,140.92919644783916,Shopping
2025-03-25,78.55251145706171,Travel
2025-03-26,119.95545739947681,Automotive
2025-03-26,132.24716281522768,Bills & Utilities
2025-03-26,135.87948716459942,Education
2025-03-26,134.75921109110942,Entertainment
2025-03-26,121.04308430614228,Food & Drink
2025-03-26,168.7240872456973,Gifts & Donations
2025-03-26,177.37877024512613,Groceries
2025-03-26,192.76798540616232,Health & Wellness
2025-03-26,178.49058188224865,Home
2025-03-26,172.81435619327067,Miscellaneous
2025-03-26,111.09032120706456,Other
2025-03-26,171.38291009948716,Personal
2025-03-26,126.40791743227658,Petrol & Gas
2025-03-26,134.0490823440659,Professional Services
2025-03-26,177.35322394986605,Rent
2025-03-26,38.54318115644325,Savings
2025-03-26,140.92919644783916,Shopping
2025-03-26,127.1805234897752,Travel
2025-03-27,119.95545739947681,Automotive
2025-03-27,132.24716281522768,Bills & Utilities
2025-03-27,135.87948716459942,Education
2025-03-27,134.75921109110942,Entertainment
2025-03-27,121.04308430614228,Food & Drink
2025-03-27,167.9975783332694,Gifts & Donations
2025-03-27,177.37877024512613,Groceries
2025-03-27,192.76798540616232,Health & Wellness
2025-03-27,178.49058188224865,Home
2025-03-27,172.81435619327067,Miscellaneous
2025-03-27,111.09032120706456,Other
2025-03-27,171.38291009948716,Personal
2025-03-27,126.40791743227658,Petrol & Gas
2025-03-27,176.5643088368384,Professional Services
2025-03-27,177.35322394986605,Rent
2025-03-27,38.20799572162771,Savings
2025-03-27,140.92919644783916,Shopping
2025-03-27,146.12140968052063,Travel
2025-03-28,119.95545739947681,Automotive
2025-03-28,132.24716281522768,Bills & Utilities
2025-03-28,135.87948716459942,Education
2025-03-28,134.75921109110942,Entertainment
2025-03-28,121.04308430614228,Food & Drink
2025-03-28,167.89937276596152,Gifts & Donations
2025-03-28,177.37877024512613,Groceries
2025-03-28,192.76798540616232,Health & Wellness
2025-03-28,178.49058188224865,Home
2025-03-28,172.81435619327067,Miscellaneous
2025-03-28,111.09032120706456,Other
2025-03-28,171.38291009948716,Personal
2025-03-28,126.40791743227658,Petrol & Gas
2025-03-28,172.76797846753527,Professional Services
2025-03-28,177.35322394986605,Rent
2025-03-28,37.89845013325326,Savings
2025-03-28,140.92919644783916,Shopping
2025-03-28,153.49899216218623,Travel
2025-03-29,119.95545739947681,Automotive
2025-03-29,132.24716281522768,Bills & Utilities
2025-03-29,135.87948716459942,Education
2025-03-29,134.75921109110942,Entertainment
2025-03-29,121.04308430614228,Food & Drink
2025-03-29,167.88609786556418,Gifts & Donations
2025-03-29,177.37877024512613,Groceries
2025-03-29,192.76798540616232,Health & Wellness
2025-03-29,178.49058188224865,Home
2025-03-29,172.81435619327067,Miscellaneous
2025-03-29,111.09032120706456,Other
2025-03-29,171.38291009948716,Personal
2025-03-29,126.40791743227658,Petrol & Gas
2025-03-29,164.8824398742767,Professional Services
2025-03-29,177.35322394986605,Rent
2025-03-29,37.612583083765216,Savings
2025-03-29,140.92919644783916,Shopping
2025-03-29,156.37260233679217,Travel
2025-03-30,119.95545739947681,Automotive
2025-03-30,132.24716281522768,Bills & Utilities
2025-03-30,135.87948716459942,Education
2025-03-30,134.75921109110942,Entertainment
2025-03-30,121.04308430614228,Food & Drink
2025-03-30,167.88430343592654,Gifts & Donations
2025-03-30,177.37877024512613,Groceries
